rank,Youtuber,subscribers,video views,category,uploads,Country,Abbreviation,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings,Gross tertiary education enrollment (%),Population,Unemployment rate,Urban_population,created_on
910,7 Minutoz,13000000,4349562794,Music,521,Brazil,BR,7400.0,118100.0,88600.0,1400000.0,51.3,212559417.0,12.08,183241641.0,2012-06-04
911,The LaBrant Fam,13000000,4637474071,Comedy,612,United States,US,0.0,0.0,500966.40579710144,8038623.188405797,88.2,328239523.0,14.7,270663028.0,2012-08-24
912,Pastor Antï¿,12900000,2112274210,People & Blogs,4712,Brazil,BR,7900.0,127200.0,95400.0,1500000.0,51.3,212559417.0,12.08,183241641.0,2013-01-19
913,Matheus Yurley,12900000,140022442,Entertainment,69,Brazil,BR,37.0,591.0,470586.4440707965,7544165.480309734,51.3,212559417.0,12.08,183241641.0,2015-01-27
914,gymvirtual,12900000,2509752944,Sports,1572,Spain,ES,3000.0,48000.0,36000.0,575700.0,88.9,47076781.0,13.96,37927409.0,2010-11-01
915,BIBOï,12900000,3178222797,Entertainment,193,South Korea,KR,1000.0,16000.0,12000.0,192100.0,94.3,51709098.0,4.15,42106719.0,2016-08-08
916,Top Viral Talent,12900000,3643698504,Entertainment,1598,United States,US,7300.0,117500.0,88100.0,1400000.0,88.2,328239523.0,14.7,270663028.0,2014-01-02
917,Akon,12900000,6300933122,Music,39,United States,US,22800.0,365000.0,273700.0,4400000.0,88.2,328239523.0,14.7,270663028.0,2005-11-05
918,AlArabiya,12900000,7520379951,People & Blogs,169304,United Arab Emirates,AE,20100.0,320900.0,240700.0,3900000.0,36.8,9770529.0,2.35,8479744.0,2006-09-19
920,EnriqueIglesiasVEVO,12900000,15446707595,Music,137,United States,US,18900.0,303100.0,227300.0,3600000.0,88.2,328239523.0,14.7,270663028.0,2009-05-12
922,The Shiny Peanut,12900000,2848466522,Education,2337,Indonesia,ID,209.0,3400.0,518046.6684444444,40200.0,36.3,270203917.0,4.69,151509724.0,2016-10-26
923,Talking Angela,12800000,3632438963,Entertainment,233,United Kingdom,GB,7000.0,111800.0,83900.0,1300000.0,60.0,66834405.0,3.85,55908316.0,2014-09-02
924,Melon City Show,12800000,5863456698,Comedy,1727,Iraq,IQ,8800.0,141300.0,106000.0,1700000.0,16.2,39309783.0,12.82,27783368.0,2016-01-30
925,Duo Tiempo De Sol,12800000,6662288136,Music,323,Spain,ES,13500.0,216000.0,162000.0,2600000.0,88.9,47076781.0,13.96,37927409.0,2013-03-26
926,Troom Troom India,12800000,6804072897,Howto & Style,2385,India,IN,4300.0,69100.0,51800.0,829000.0,28.1,1366417754.0,5.36,471031528.0,2015-04-19
927,MrSuicideSheep,12800000,6970899521,Entertainment,3483,Canada,CA,4500.0,72500.0,54400.0,869600.0,68.9,36991981.0,5.56,30628482.0,2010-04-09
928,Adam W,12800000,9502983550,Comedy,681,United States,US,57200.0,915800.0,686900.0,11000000.0,88.2,328239523.0,14.7,270663028.0,2015-10-04
929,Right to Shiksha,12800000,7876740921,Education,2044,India,IN,53400.0,855000.0,641200.0,10300000.0,28.1,1366417754.0,5.36,471031528.0,2020-04-23
930,Beyoncï,12800000,14185611472,Music,168,United States,US,22400.0,358300.0,268700.0,4300000.0,88.2,328239523.0,14.7,270663028.0,2009-09-02
932,Ian Lucas,12700000,1450874545,Entertainment,50,Argentina,AE,0.0,0.0,470586.4440707965,7544165.480309734,99.0,46005799.0,6.81,42696478.0,2016-04-16
933,Franco Escamilla,12700000,4266957149,Comedy,2483,Mexico,MX,19400.0,309900.0,232400.0,3700000.0,40.2,126014024.0,3.42,102626859.0,2007-10-19
934,Adexe & Nau,12700000,4579773883,Music,594,Spain,ES,2500.0,40300.0,30200.0,484000.0,88.9,47076781.0,13.96,37927409.0,2013-12-22
936,Jass Records,12700000,5958994201,Music,1,India,IN,0.0,0.0,408155.45147959184,6538956.585153062,28.1,1366417754.0,5.36,471031528.0,2012-02-10
937,Future,12700000,9927699419,Music,119,United States,US,118.0,1900.0,408155.45147959184,22700.0,88.2,328239523.0,14.7,270663028.0,2020-11-07
938,YoungBoy Never Broke Again,12700000,13174393401,Entertainment,142,United States,US,42500.0,679900.0,509900.0,8200000.0,88.2,328239523.0,14.7,270663028.0,2015-01-04
939,Blossom,12700000,4733873025,Howto & Style,812,United States,US,11000.0,175500.0,131600.0,2100000.0,88.2,328239523.0,14.7,270663028.0,2017-06-01
941,Piuzinho,12700000,1081285962,Gaming,504,Brazil,BR,905.0,14500.0,10900.0,173700.0,51.3,212559417.0,12.08,183241641.0,2015-05-13
943,Go Ami Go!,12700000,1714955279,People & Blogs,252,Colombia,CO,81900.0,1300000.0,982800.0,15700000.0,55.3,50339443.0,9.71,40827302.0,2015-12-03
944,Morgz,12600000,3303595310,Gaming,825,United Kingdom,GB,14700.0,235400.0,176500.0,2800000.0,60.0,66834405.0,3.85,55908316.0,2014-06-10
945,CaseyNeistat,12600000,3152402405,People & Blogs,1101,United States,US,1500.0,23800.0,17900.0,285700.0,88.2,328239523.0,14.7,270663028.0,2010-02-15
946,SULGI,12600000,3485373675,People & Blogs,683,South Korea,KR,28300.0,452500.0,339400.0,5400000.0,94.3,51709098.0,4.15,42106719.0,2012-11-05
